id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
5633,C8-0000001-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-01-07T00:00:00,2025-01-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),Certified Ag Labs,California AG Labs,"Greg Engelbrecht, Robert Myers",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Yuba,Data Not Available,Rmyers@crtaglabs.Com,(916) 595-1269,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5636,C8-0000008-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-01T00:00:00,2025-04-30T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Belcosta Labs Long Beach, LLC",Data Not Available,"Matthew Dechter, Myron Ronay",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Info@belcostalabs.Com,(562) 676-4206,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5639,C8-0000013-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Sc Laboratories California LLC,"SC Laboratories, SC Labs","Alan Peyrat, BELA SCHWARTZ, BELA SZIGETHY, Jacob Stoller, Jeffrey Gray, JEFFREY VAIL, STEWART KOHL",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Santa Cruz,Data Not Available,Jeff@sclabs.Com,(866) 435-0709,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5642,C8-0000016-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-22T00:00:00,2025-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Landau Laboratories, Inc","LANDAU LABORATORIES, INC","Georg Kallert, Michael Agadjanyan, Ruben Vardanyan, Shusnanik Karapetyan",Corporation,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Georgkallert@mac.Com,(305) 606-5711,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5646,C8-0000021-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2025-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),Harrens Lab Inc.,Harrens Lab Inc.,"Jinbo Liu, Ming Li",Corporation,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Mingli@harrenslab.Com,(510) 887-8885,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5674,C8-0000022-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2025-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Ph Solutions, LLC",pH Solutions,"Ben Rosman, Lev Spivak-Birndorf, Raquel Keledjian",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Raquel@psilabs.Org,(310) 703-9567,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5681,C8-0000035-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-08-05T00:00:00,2024-08-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"8 Lane Investments, Inc.",VRX Labs,"Charles Vethan, Hung Ha, Jason Poon, Johnny Salinas",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Charles.Vethan@vrxlabs.Com,(832) 642-1650,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5683,C8-0000038-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-06-25T00:00:00,2025-06-24T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Brightside Scientific, Inc.",Cannabis Testing Laboratory,"Hinaxi Patel, Wiaam Abdulzahra",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Team@brightsidesci.Com,(844) 420-5227,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5692,C8-0000047-LIC,Active,,Annual,Commercial -  Testing Laboratory,Data Not Available,2022-01-21T00:00:00,2025-01-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),Infinite Chemical Analysis Labs LLC,INFINITE CHEMICAL ANALYSIS LABS,"David Marelius, Joshua Swider",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Admin@infinitecal.Com,(858) 623-2740,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5694,C8-0000052-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-07-09T00:00:00,2025-07-08T00:00:00,BCC,Bureau of Cannabis Control (BCC),Anresco Incorporated,Anresco Laboratories,"Amanda  Eisenberg, David Eisenberg, Zachary Eisenberg",Corporation,Data Not Available,Not Published,Data Not Available,CA,San Francisco,Data Not Available,Zach@anresco.Com,(415) 822-1100,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5696,C8-0000054-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-04-28T00:00:00,2025-04-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Pride Analytics And Consulting, LLC",2 River Labs,Zachery Meyer,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Zachery.Meyer@2riverlabs.Com,(920) 390-1129,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5698,C8-0000059-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-06-22T00:00:00,2025-06-22T00:00:00,BCC,Bureau of Cannabis Control (BCC),Excelbis Labs LLC,Excelbis Labs,"Keven Brahmbhatt, Rashila Brahmbhatt",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Orange,Data Not Available,Keven@excelbislabs.Com,(714) 595-1965,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5703,C8-0000072-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-05T00:00:00,2025-08-04T00:00:00,BCC,Bureau of Cannabis Control (BCC),2 River Labs,2 River Labs,"Matt Bailey, Michael  Roman",Corporation,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Matt.Bailey@2riverlabs.Com,(916) 717-3561,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5706,C8-0000078-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-20T00:00:00,2025-08-19T00:00:00,BCC,Bureau of Cannabis Control (BCC),Green Leaf Labs Ca LLC,Green Leaf Lab,Rowshan Reordan,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Rowshan.Reordan@greenleaflabs.Com,(503) 250-2912,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5737,C8-0000086-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-28T00:00:00,2025-08-27T00:00:00,BCC,Bureau of Cannabis Control (BCC),Encore Labs LLC,ENCORE LABS,"Cliff Yeh, Joseph Wang, Spencer Wong",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Jwang@encore-Labs.Com,(626) 696-3086,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5738,C8-0000098-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-09-17T00:00:00,2024-09-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),Pharmlabs LLC,Pharmlabs,"Beau Rillo, Gregory Magdoff",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Greg@sdpharmlabs.Com,(925) 262-3883,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5739,C8-0000104-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-10-02T00:00:00,2024-10-01T00:00:00,BCC,Bureau of Cannabis Control (BCC),Caligreen Laboratory,Data Not Available,"Karina Glosman, Marianna Nudel-Lummer, Nelly Cobos, Oksana Glosman",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Nelly@caligreenlaboratory.Com,(818) 792-0001,Data Not Available,,,2024-08-05T04:42:10.1866667,,
5744,C8-0000122-LIC,Active,,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-10-06T00:00:00,2024-10-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Hk Holding, LLC",SQRD Lab,"Jason Cooley, Sherif Khalil, Sohair Hanna",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Sherifkhalil22@gmail.Com,(248) 819-0708,Data Not Available,,,2024-08-05T04:42:10.1866667,,
