id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
10777,C8-0000001-LIC,Active,2024-02-02T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-01-07T00:00:00,2025-01-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),Certified Ag Labs,California AG Labs,"Greg Engelbrecht, Robert Myers",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Yuba,Data Not Available,Rmyers@crtaglabs.Com,(916) 595-1269,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10779,C8-0000003-LIC,Active,2022-01-12T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-01-12T00:00:00,2025-01-12T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Shasta Laboratory, Inc.",Shasta Laboratory,"Daeseob Cho, Jay Ambrosio, Paul Eric Ambrosio",Corporation,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Dcho@shastalab.Com,(510) 992-6800,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10780,C8-0000008-LIC,Active,2019-05-01T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-01T00:00:00,2025-04-30T00:00:00,BCC,Bureau of Cannabis Control (BCC),Belcosta Labs Long Beach LLC,Data Not Available,"Matthew Dechter, Myron Ronay",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Info@belcostalabs.Com,(562) 676-4206,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10783,C8-0000013-LIC,Active,2020-05-11T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-10T00:00:00,2024-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Sc Laboratories California LLC,"SC Laboratories, SC Labs","Alan Peyrat, BELA SCHWARTZ, BELA SZIGETHY, Jacob Stoller, Jeffrey Gray, JEFFREY VAIL, STEWART KOHL",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Santa Cruz,Data Not Available,Jeff@sclabs.Com,(866) 435-0709,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10786,C8-0000016-LIC,Active,2019-05-22T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-22T00:00:00,2024-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Landau Laboratories, Inc","LANDAU LABORATORIES, INC","Georg Kallert, Michael Agadjanyan, Ruben Vardanyan, Shusnanik Karapetyan",Corporation,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Georgkallert@mac.Com,(305) 606-5711,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10789,C8-0000021-LIC,Active,2021-03-04T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2024-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),Harrens Lab Inc.,Harrens Lab Inc.,"Jinbo Liu, Ming Li",Corporation,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Mingli@harrenslab.Com,(510) 887-8885,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10790,C8-0000022-LIC,Active,2019-05-29T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-05-29T00:00:00,2024-05-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Ph Solutions, LLC",pH Solutions,"Ben Rosman, Lev Spivak-Birndorf, Raquel Keledjian",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Raquel@psilabs.Org,(310) 703-9567,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10797,C8-0000035-LIC,Active,2022-08-08T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-08-05T00:00:00,2024-08-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"8 Lane Investments, Inc.",VRX Labs,"Charles Vethan, Hung Ha, Jason Poon, Johnny Salinas",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Charles.Vethan@vrxlabs.Com,(832) 642-1650,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10799,C8-0000038-LIC,Active,2019-06-25T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-06-25T00:00:00,2024-06-24T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Brightside Scientific, Inc.",Cannabis Testing Laboratory,"Hinaxi Patel, Khaled Matahen",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Team@brightsidesci.Com,(844) 420-5227,Data Not Available,,,2024-03-24T04:59:21.1233333,,
10801,C8-0000040-LIC,Active,2021-01-12T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-06-26T00:00:00,2024-06-25T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Csa La, LLC",SC Labs SoCal,"Alan Peyrat, Gerald Dabkowski, Gregory Balotin, Jacob Stoller, Jeffrey Gray, Jeffrey Journey, Jeffrey Vail, Valerie Scrogins, William Scrogins",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Bills@csalabs.Com,(904) 422-0673,Data Not Available,,,2024-03-24T04:59:21.1233333,,
